score,author,content,description,publishedAt,source,title,url,urlToImage
135,Alex Halperin,"T wo hours north of San Francisco, in Mendocino county, orderly roadside vineyards give way to the rugged forests and misty coast of the Emerald Triangle, Americas most celebrated marijuana growing region. In June, more than 300 cannabis industry insiders gat… [+12194 chars]","Marginalized groups that championed legalization struggle to compete with corporate refugees jumping on the bandwagon Two hours north of San Francisco, in Mendocino county, orderly roadside vineyards give way to the rugged forests and misty coast of the Emera…",2018-10-03T10:00:09Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Cannabis capitalism: who is making money in the marijuana industry?,https://www.theguardian.com/society/2018/oct/03/cannabis-industry-legalization-who-is-making-money,https://i.guim.co.uk/img/media/8643d7fcb41106dbc872d8e65fb4f0ebe9ae3630/0_0_3000_1800/master/3000.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&crop=faces%2Centropy&bm=normal&ba=bottom%2Cleft&blend64=aHR0cHM6Ly9hc3NldHMuZ3VpbS5jby51ay9pbWFnZXMvb3ZlcmxheXMvZDM1ODZhNWVmNTc4MTc1NmQyMWEzYjYzNWU1MTcxNDEvdGctZGVmYXVsdC5wbmc&s=1adc02568f222d3ce5ac067e1405691b
136,Mark Frauenfelder,"Los Angeles International Airport announced its policy regarding pot - you can carry it and fly with it. If the TSA finds your stash, they might turn you over to the local fuzz, but since marijuana is legal in California, they won't bust you. LAX Marijuana Po… [+2674 chars]","Los Angeles International Airport announced its policy regarding pot - you can carry it and fly with it. If the TSA finds your stash, they might turn you over to the local fuzz, but since marijuana is legal in California, they won't bust you. LAX Marijuana Po…",2018-09-28T18:19:31Z,"{'id': None, 'name': 'Boingboing.net'}",LAX is cool with weed,https://boingboing.net/2018/09/28/lax-is-cool-with-weed.html,https://media.boingboing.net/wp-content/uploads/2018/09/jet.jpg
137,Seamus Bellamy,"I'm writing this on a flight to Chicago. By the time I return to Canada on Thursday, the sale and use of cannabis, in many circumstances, will be cool, from coast to coast to coast. This does not excite me: I'm not a cannabis enthusiast. Your mileage, however… [+3728 chars]","I'm writing this on a flight to Chicago. By the time I return to Canada on Thursday, the sale and use of cannabis, in many circumstances, will be cool, from coast to coast to coast. This does not excite me: I'm not a cannabis enthusiast. Your mileage, however…",2018-10-16T21:45:32Z,"{'id': None, 'name': 'Boingboing.net'}",The New York Times has the dope on cannabis use in Canada,https://boingboing.net/2018/10/16/the-new-york-times-has-the-dop.html,https://media.boingboing.net/wp-content/uploads/2018/10/weed-2517251_1280.jpg
138,Mark Frauenfelder,,"If you're a citizen of South Korea, you're expected to obey the laws of that country even when you aren't in the country. That means any South Korean citizen who smokes perfectly legal pot in Canada could return home and receive a five year prison sentence. F…",2018-10-23T16:46:17Z,"{'id': None, 'name': 'Boingboing.net'}","South Korea warns its 23,000 students in Canada: smoke weed and we will imprison you",https://boingboing.net/2018/10/23/south-korea-warns-its-23000-s.html,https://media.boingboing.net/wp-content/uploads/2018/10/shutterstock_101771479.jpg
139,Cory Doctorow,"Ontario's ""A Plan for Fair Workplaces and Better Jobs"" (AKA Bill 148) legislates leave for domestic abuse survivors, provides for 10 days of paid emergency leave, three weeks paid vacation after five years' employment, and a ban on employers requiring their e… [+3192 chars]","Ontario's ""A Plan for Fair Workplaces and Better Jobs"" (AKA Bill 148) legislates leave for domestic abuse survivors, provides for 10 days of paid emergency leave, three weeks paid vacation after five years' employment, and a ban on employers requiring their e…",2018-10-03T17:09:30Z,"{'id': None, 'name': 'Boingboing.net'}","Ontario businesses want trumpy Doug Ford to kill leave for domestic abuse survivors, allow mandatory high heeled shoes",https://boingboing.net/2018/10/03/bill-148.html,https://media.boingboing.net/wp-content/uploads/2018/10/2000px-High_heels.svg_.png.jpg
140,Seamus Bellamy,"While cannabis may now be legal to smoke, sell and possess across Canada, the demand for bammy is harshing the buzz of many an Albertan. According to the CBC, certified cannabis suppliers are having a hell of a time trying to keep up with demand. The problem … [+3223 chars]","While cannabis may now be legal to smoke, sell and possess across Canada, the demand for bammy is harshing the buzz of many an Albertan. According to the CBC, certified cannabis suppliers are having a hell of a time trying to keep up with demand. The problem …",2018-10-21T22:45:15Z,"{'id': None, 'name': 'Boingboing.net'}",Canadian government growers can't keep up with Alberta's demand for weed,https://boingboing.net/2018/10/21/canadian-government-growers-ca.html,https://media.boingboing.net/wp-content/uploads/2018/10/stock.jpg
141,Cory Doctorow,"In 2008, the Bush and Obama administrations both argued that they had a duty to transfer more than $700,000,000 of American taxpayers' money to the largest banks in the country, because these banks were ""too big to fail"" and allowing them to collapse would do… [+4781 chars]","In 2008, the Bush and Obama administrations both argued that they had a duty to transfer more than $700,000,000 of American taxpayers' money to the largest banks in the country, because these banks were ""too big to fail"" and allowing them to collapse would do…",2018-10-05T13:16:23Z,"{'id': None, 'name': 'Boingboing.net'}","New Sanders bill: If a bank is too big to fail, it's too big to exist",https://boingboing.net/2018/10/05/break-em-up.html,https://media.boingboing.net/wp-content/uploads/2018/10/5-major-banks-1.jpg
142,Michael Grothaus,"As of midnight last night, Canada is now the second country to legalize recreational marijuana (the first was Uruguay), CNBC reports. Canada, which has had legal medical marijuana since 2001, decided to make the drug legal recreationally because of changing s… [+612 chars]","Canada decided to make the drug legal recreationally because of changing social attitudes toward it. As of midnight last night, Canada is now the second country to legalize recreational marijuana (the first was Uruguay), CNBC reports. Canada, which has had le…",2018-10-17T06:28:01Z,"{'id': None, 'name': 'Fastcompany.com'}",Light ’em up! Canada legalizes marijuana,https://www.fastcompany.com/90252634/light-em-up-canada-legalizes-marijuana?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcompany%2Fheadlines+%28Fast+Company%29,"https://images.fastcompany.net/image/upload/w_1280,f_auto,q_auto,fl_lossy/v1528728154/fcweb/0d-news-placeholder_oqxvpk.jpg"
143,,"A murky outlook Americas secretary of state, Mike Pompeo, travelled to Saudi Arabia, where he met King Salman and his son, Muhammad bin Salman, the crown prince. Prince Muhammad is under scrutiny after the death of Jamal Khashoggi at the Saudi consulate in Is… [+5252 chars]","A murky outlook
America’s secretary of state, Mike Pompeo, travelled to Saudi Arabia, where he met King Salman and his son, Muhammad bin Salman, the crown prince. Prince Muhammad is under scrutiny after the death of Jamal Khashoggi at the Saudi consulate in I…",2018-10-18T14:52:16Z,"{'id': 'the-economist', 'name': 'The Economist'}",Politics this week,https://www.economist.com/the-world-this-week/2018/10/20/politics-this-week,https://cdn.static-economist.com/sites/default/files/images/2018/10/articles/main/20181020_wwp002.jpg
144,,MONTREAL (AP) Ian Power was among the first to buy legal recreational marijuana in Canada but he has no plans to smoke it. He plans to frame it. Canada became the largest country with a legal national marijuana marketplace as sales began early Wednesday in Ne… [+6346 chars],MONTREAL (AP) — Ian Power was among the first to buy legal recreational marijuana in Canada but he has no plans to smoke it. He plans to frame it.,2018-10-17T15:07:28Z,"{'id': None, 'name': 'Yahoo.com'}",Canada now world's largest legal marijuana marketplace,https://www.yahoo.com/news/canada-now-worlds-largest-legal-023348841.html,https://s.yimg.com/uu/api/res/1.2/bN6HKrsNlJ8uMfKqeBKcQQ--~B/aD0yMjI5O3c9MzYwMDtzbT0xO2FwcGlkPXl0YWNoeW9u/http://media.zenfs.com/en_us/News/ap_webfeeds/f79d6de99e8d4c82b742bdeb8385eb64.jpg
